columna,columna_mostrada,valor,valor_mostrado,frecuencia
 ,'<NBSP>',,'',11867
CODIGO,CODIGO,00-01-0158-46,00-01-0158-46,1
CODIGO,CODIGO,00-01-0160-46,00-01-0160-46,1
CODIGO,CODIGO,00-01-0162-46,00-01-0162-46,1
CODIGO,CODIGO,00-01-0168-46,00-01-0168-46,1
CODIGO,CODIGO,00-01-0173-46,00-01-0173-46,1
CODIGO,CODIGO,00-01-0174-46,00-01-0174-46,1
CODIGO,CODIGO,00-01-0175-46,00-01-0175-46,1
CODIGO,CODIGO,00-01-0176-46,00-01-0176-46,1
CODIGO,CODIGO,00-01-0177-46,00-01-0177-46,1
CODIGO,CODIGO,00-01-0178-46,00-01-0178-46,1
CODIGO,CODIGO,00-01-0179-46,00-01-0179-46,1
CODIGO,CODIGO,00-01-0180-46,00-01-0180-46,1
CODIGO,CODIGO,00-01-0181-46,00-01-0181-46,1
CODIGO,CODIGO,00-01-0182-46,00-01-0182-46,1
CODIGO,CODIGO,00-01-0183-46,00-01-0183-46,1
CODIGO,CODIGO,00-01-0184-46,00-01-0184-46,1
CODIGO,CODIGO,00-01-0185-46,00-01-0185-46,1
CODIGO,CODIGO,00-01-0186-46,00-01-0186-46,1
CODIGO,CODIGO,00-01-0187-46,00-01-0187-46,1
CODIGO,CODIGO,00-01-0188-46,00-01-0188-46,1
DISTRITO,DISTRITO, ,'<NBSP>',532
DISTRITO,DISTRITO,01-403,01-403,166
DISTRITO,DISTRITO,01-411,01-411,107
DISTRITO,DISTRITO,05-033,05-033,104
DISTRITO,DISTRITO,11-017,11-017,79
DISTRITO,DISTRITO,01-101,01-101,76
DISTRITO,DISTRITO,01-,01-,67
DISTRITO,DISTRITO,01-409,01-409,64
DISTRITO,DISTRITO,01-405,01-405,62
DISTRITO,DISTRITO,01-641,01-641,55
DISTRITO,DISTRITO,05-007,05-007,55
DISTRITO,DISTRITO,18-008,18-008,54
DISTRITO,DISTRITO,03-002,03-002,50
DISTRITO,DISTRITO,13-004,13-004,50
DISTRITO,DISTRITO,10-019,10-019,45
DISTRITO,DISTRITO,01-99-0153,01-99-0153,44
DISTRITO,DISTRITO,01-301,01-301,43
DISTRITO,DISTRITO,01-99-0154,01-99-0154,43
DISTRITO,DISTRITO,10-01-0511,10-01-0511,42
DISTRITO,DISTRITO,01-01-0037,01-01-0037,40
DEPARTAMENTO,DEPARTAMENTO,CIUDAD CAPITAL,CIUDAD CAPITAL,2161
DEPARTAMENTO,DEPARTAMENTO,GUATEMALA,GUATEMALA,1908
DEPARTAMENTO,DEPARTAMENTO,SAN MARCOS,SAN MARCOS,724
DEPARTAMENTO,DEPARTAMENTO,ESCUINTLA,ESCUINTLA,708
DEPARTAMENTO,DEPARTAMENTO,HUEHUETENANGO,HUEHUETENANGO,591
DEPARTAMENTO,DEPARTAMENTO,QUETZALTENANGO,QUETZALTENANGO,551
DEPARTAMENTO,DEPARTAMENTO,PETEN,PETEN,516
DEPARTAMENTO,DEPARTAMENTO,ALTA VERAPAZ,ALTA VERAPAZ,475
DEPARTAMENTO,DEPARTAMENTO,SUCHITEPEQUEZ,SUCHITEPEQUEZ,437
DEPARTAMENTO,DEPARTAMENTO,CHIMALTENANGO,CHIMALTENANGO,435
DEPARTAMENTO,DEPARTAMENTO,SACATEPEQUEZ,SACATEPEQUEZ,430
DEPARTAMENTO,DEPARTAMENTO,IZABAL,IZABAL,413
DEPARTAMENTO,DEPARTAMENTO,JUTIAPA,JUTIAPA,392
DEPARTAMENTO,DEPARTAMENTO,RETALHULEU,RETALHULEU,364
DEPARTAMENTO,DEPARTAMENTO,QUICHE,QUICHE,322
DEPARTAMENTO,DEPARTAMENTO,CHIQUIMULA,CHIQUIMULA,239
DEPARTAMENTO,DEPARTAMENTO,SANTA ROSA,SANTA ROSA,213
DEPARTAMENTO,DEPARTAMENTO,SOLOLA,SOLOLA,192
DEPARTAMENTO,DEPARTAMENTO,JALAPA,JALAPA,183
DEPARTAMENTO,DEPARTAMENTO,BAJA VERAPAZ,BAJA VERAPAZ,171
MUNICIPIO,MUNICIPIO,ZONA 1,ZONA 1,868
MUNICIPIO,MUNICIPIO,MIXCO,MIXCO,562
MUNICIPIO,MUNICIPIO,VILLA NUEVA,VILLA NUEVA,446
MUNICIPIO,MUNICIPIO,QUETZALTENANGO,QUETZALTENANGO,281
MUNICIPIO,MUNICIPIO,ZONA 7,ZONA 7,236
MUNICIPIO,MUNICIPIO,RETALHULEU,RETALHULEU,204
MUNICIPIO,MUNICIPIO,MAZATENANGO,MAZATENANGO,200
MUNICIPIO,MUNICIPIO,CHIMALTENANGO,CHIMALTENANGO,198
MUNICIPIO,MUNICIPIO,ESCUINTLA,ESCUINTLA,189
MUNICIPIO,MUNICIPIO,HUEHUETENANGO,HUEHUETENANGO,177
MUNICIPIO,MUNICIPIO,PUERTO BARRIOS,PUERTO BARRIOS,173
MUNICIPIO,MUNICIPIO,SAN MIGUEL PETAPA,SAN MIGUEL PETAPA,160
MUNICIPIO,MUNICIPIO,ZONA 12,ZONA 12,149
MUNICIPIO,MUNICIPIO,AMATITLAN,AMATITLAN,146
MUNICIPIO,MUNICIPIO,ANTIGUA GUATEMALA,ANTIGUA GUATEMALA,145
MUNICIPIO,MUNICIPIO,SANTA LUCIA COTZUMALGUAPA,SANTA LUCIA COTZUMALGUAPA,136
MUNICIPIO,MUNICIPIO,ZONA 18,ZONA 18,134
MUNICIPIO,MUNICIPIO,JUTIAPA,JUTIAPA,133
MUNICIPIO,MUNICIPIO,COBAN,COBAN,132
MUNICIPIO,MUNICIPIO,MORALES,MORALES,130
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,353
ESTABLECIMIENTO,ESTABLECIMIENTO,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,268
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,142
ESTABLECIMIENTO,ESTABLECIMIENTO,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,37
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO DIVERSIFICADO POR COOPERATIVA,INSTITUTO DIVERSIFICADO POR COOPERATIVA,29
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,27
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,26
ESTABLECIMIENTO,ESTABLECIMIENTO,INED  INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED  INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,19
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),19
ESTABLECIMIENTO,ESTABLECIMIENTO,ESCUELA NORMAL DE EDUCACION FISICA,ESCUELA NORMAL DE EDUCACION FISICA,18
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO DE COMPUTACION INFORMATICA,INSTITUTO DE COMPUTACION INFORMATICA,18
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA,16
ESTABLECIMIENTO,ESTABLECIMIENTO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,15
ESTABLECIMIENTO,ESTABLECIMIENTO,ESCUELA NORMAL INTERCULTURAL,ESCUELA NORMAL INTERCULTURAL,14
ESTABLECIMIENTO,ESTABLECIMIENTO,LICEO CANADIENSE SOCIEDAD ANONIMA,LICEO CANADIENSE SOCIEDAD ANONIMA,14
ESTABLECIMIENTO,ESTABLECIMIENTO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,13
ESTABLECIMIENTO,ESTABLECIMIENTO,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,13
ESTABLECIMIENTO,ESTABLECIMIENTO,ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA -AMERG-,ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA -AMERG-,12
ESTABLECIMIENTO,ESTABLECIMIENTO,CENTRO EDUCATIVO MAYA,CENTRO EDUCATIVO MAYA,12
ESTABLECIMIENTO,ESTABLECIMIENTO,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,12
DIRECCION,DIRECCION,CABECERA MUNICIPAL,CABECERA MUNICIPAL,323
DIRECCION,DIRECCION,BARRIO EL CENTRO,BARRIO EL CENTRO,77
DIRECCION,DIRECCION, ,'<NBSP>',76
DIRECCION,DIRECCION,ZONA 1,ZONA 1,29
DIRECCION,DIRECCION,BARRIO EL CALVARIO,BARRIO EL CALVARIO,19
DIRECCION,DIRECCION,BARRIO LAS FLORES,BARRIO LAS FLORES,16
DIRECCION,DIRECCION,BARRIO SAN SEBASTIAN,BARRIO SAN SEBASTIAN,16
DIRECCION,DIRECCION,CALLE PRINCIPAL,CALLE PRINCIPAL,16
DIRECCION,DIRECCION,BARRIO EL PORVENIR,BARRIO EL PORVENIR,15
DIRECCION,DIRECCION,ALDEA CAMOJALLITO,ALDEA CAMOJALLITO,14
DIRECCION,DIRECCION,ZONA 1 PLAYA GRANDE,ZONA 1 PLAYA GRANDE,14
DIRECCION,DIRECCION,ALDEA PLAYITAS,ALDEA PLAYITAS,13
DIRECCION,DIRECCION,BARRIO EL MITCHAL,BARRIO EL MITCHAL,13
DIRECCION,DIRECCION,BARRIO LA REFORMA,BARRIO LA REFORMA,13
DIRECCION,DIRECCION,ALDEA BUENA VISTA,ALDEA BUENA VISTA,12
DIRECCION,DIRECCION,ALDEA EL NARANJO,ALDEA EL NARANJO,12
DIRECCION,DIRECCION,AVENIDA SIMEON CAÑAS 3-37,AVENIDA SIMEON CAÑAS 3-37,12
DIRECCION,DIRECCION,BARRIO EL CEMENTERIO,BARRIO EL CEMENTERIO,12
DIRECCION,DIRECCION,11 CALLE 3-59,11 CALLE 3-59,11
DIRECCION,DIRECCION,12 CALLE 10-37,12 CALLE 10-37,11
TELEFONO,TELEFONO, ,'<NBSP>',946
TELEFONO,TELEFONO,22067425,22067425,71
TELEFONO,TELEFONO,22093200,22093200,14
TELEFONO,TELEFONO,77602663,77602663,13
TELEFONO,TELEFONO,79480009,79480009,13
TELEFONO,TELEFONO,45353648,45353648,12
TELEFONO,TELEFONO,24637777,24637777,11
TELEFONO,TELEFONO,55025058,55025058,11
TELEFONO,TELEFONO,59304894,59304894,11
TELEFONO,TELEFONO,77746400,77746400,11
TELEFONO,TELEFONO,23750057,23750057,10
TELEFONO,TELEFONO,57835932,57835932,10
TELEFONO,TELEFONO,78326854,78326854,10
TELEFONO,TELEFONO,78899679,78899679,10
TELEFONO,TELEFONO,22584390,22584390,9
TELEFONO,TELEFONO,24321644,24321644,9
TELEFONO,TELEFONO,24837931,24837931,9
TELEFONO,TELEFONO,36077580,36077580,9
TELEFONO,TELEFONO,46139082,46139082,9
TELEFONO,TELEFONO,59790491,59790491,9
SUPERVISOR,SUPERVISOR, ,'<SPACE>',535
SUPERVISOR,SUPERVISOR,CARLOS HUMBERTO GONZALEZ DE LEON,CARLOS HUMBERTO GONZALEZ DE LEON,227
SUPERVISOR,SUPERVISOR,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,166
SUPERVISOR,SUPERVISOR,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,133
SUPERVISOR,SUPERVISOR,REMY ARTURO SINAY GUDIEL,REMY ARTURO SINAY GUDIEL,116
SUPERVISOR,SUPERVISOR,JUAN ENRIQUE MARTINEZ SOLANO,JUAN ENRIQUE MARTINEZ SOLANO,107
SUPERVISOR,SUPERVISOR,MIGUEL ANGEL ARMAS ROCHA,MIGUEL ANGEL ARMAS ROCHA,91
SUPERVISOR,SUPERVISOR,ZOILA ESTHELA JONFE OROZCO,ZOILA ESTHELA JONFE OROZCO,86
SUPERVISOR,SUPERVISOR,BLANCA SARAI GUTIERREZ PINEDA,BLANCA SARAI GUTIERREZ PINEDA,83
SUPERVISOR,SUPERVISOR,YENI XIOMARA CRÚZ SARCEÑO,YENI XIOMARA CRÚZ SARCEÑO,76
SUPERVISOR,SUPERVISOR,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,72
SUPERVISOR,SUPERVISOR,AMADO SALOMON FLORES PEREZ,AMADO SALOMON FLORES PEREZ,70
SUPERVISOR,SUPERVISOR,MARIA FELICITA ROQUE CARRERA,MARIA FELICITA ROQUE CARRERA,67
SUPERVISOR,SUPERVISOR,CLARA ARMIDA MORALES CASTILLO,CLARA ARMIDA MORALES CASTILLO,65
SUPERVISOR,SUPERVISOR,RONALD MAURICIO MORALES VIVAR,RONALD MAURICIO MORALES VIVAR,64
SUPERVISOR,SUPERVISOR,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,63
SUPERVISOR,SUPERVISOR,JUAN FRANCISCO GODOY DAVILA,JUAN FRANCISCO GODOY DAVILA,55
SUPERVISOR,SUPERVISOR,MILTON ALONSO ALVAREZ FUENTES,MILTON ALONSO ALVAREZ FUENTES,55
SUPERVISOR,SUPERVISOR,LILIN MELISA HERRERA ORREGO,LILIN MELISA HERRERA ORREGO,53
SUPERVISOR,SUPERVISOR,IDALIA DEL ROSARIO LÓPEZ SANDOVAL,IDALIA DEL ROSARIO LÓPEZ SANDOVAL,51
DIRECTOR,DIRECTOR, ,'<NBSP>',1733
DIRECTOR,DIRECTOR,---,---,167
DIRECTOR,DIRECTOR,--,--,41
DIRECTOR,DIRECTOR,----,----,39
DIRECTOR,DIRECTOR,THELMA ONDINA VASQUEZ,THELMA ONDINA VASQUEZ,33
DIRECTOR,DIRECTOR,SIN DATO,SIN DATO,28
DIRECTOR,DIRECTOR,-----,-----,18
DIRECTOR,DIRECTOR,-,-,16
DIRECTOR,DIRECTOR,.,.,14
DIRECTOR,DIRECTOR,JORGE GRANADOS GUZMÁN,JORGE GRANADOS GUZMÁN,14
DIRECTOR,DIRECTOR,MARIA DEL ROSARIO LOPEZ ESCOBAR DE PAZ,MARIA DEL ROSARIO LOPEZ ESCOBAR DE PAZ,14
DIRECTOR,DIRECTOR,--------------,--------------,13
DIRECTOR,DIRECTOR,THELMA ONDINA VASQUEZ REYES,THELMA ONDINA VASQUEZ REYES,13
DIRECTOR,DIRECTOR,------,------,12
DIRECTOR,DIRECTOR,GRISELDA DEL CARMEN MORALES DEL CID,GRISELDA DEL CARMEN MORALES DEL CID,12
DIRECTOR,DIRECTOR,HÉCTOR REYNALDO GÓMEZ AGUILAR,HÉCTOR REYNALDO GÓMEZ AGUILAR,12
DIRECTOR,DIRECTOR,MARCO ANTONIO CASTAÑEDA FLORES,MARCO ANTONIO CASTAÑEDA FLORES,12
DIRECTOR,DIRECTOR,MARÍA DOLORES PÉREZ TUCHÁN,MARÍA DOLORES PÉREZ TUCHÁN,12
DIRECTOR,DIRECTOR,-------,-------,11
DIRECTOR,DIRECTOR,EVA JUDITH HERNÁNDEZ MARQUEZ,EVA JUDITH HERNÁNDEZ MARQUEZ,11
NIVEL,NIVEL,DIVERSIFICADO,DIVERSIFICADO,11867
SECTOR,SECTOR,PRIVADO,PRIVADO,9891
SECTOR,SECTOR,OFICIAL,OFICIAL,1499
SECTOR,SECTOR,COOPERATIVA,COOPERATIVA,298
SECTOR,SECTOR,MUNICIPAL,MUNICIPAL,179
AREA,AREA,URBANA,URBANA,9461
AREA,AREA,RURAL,RURAL,2403
AREA,AREA,SIN ESPECIFICAR,SIN ESPECIFICAR,3
STATUS,STATUS,ABIERTA,ABIERTA,6860
STATUS,STATUS,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,3006
STATUS,STATUS,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE,1841
STATUS,STATUS,TEMPORAL TITULOS,TEMPORAL TITULOS,110
STATUS,STATUS,TEMPORAL NOMBRAMIENTO,TEMPORAL NOMBRAMIENTO,50
MODALIDAD,MODALIDAD,MONOLINGUE,MONOLINGUE,11394
MODALIDAD,MODALIDAD,BILINGUE,BILINGUE,473
JORNADA,JORNADA,DOBLE,DOBLE,3772
JORNADA,JORNADA,VESPERTINA,VESPERTINA,3407
JORNADA,JORNADA,MATUTINA,MATUTINA,3045
JORNADA,JORNADA,SIN JORNADA,SIN JORNADA,1099
JORNADA,JORNADA,NOCTURNA,NOCTURNA,415
JORNADA,JORNADA,INTERMEDIA,INTERMEDIA,129
PLAN,PLAN,DIARIO(REGULAR),DIARIO(REGULAR),7452
PLAN,PLAN,FIN DE SEMANA,FIN DE SEMANA,2898
PLAN,PLAN,SEMIPRESENCIAL (FIN DE SEMANA),SEMIPRESENCIAL (FIN DE SEMANA),542
PLAN,PLAN,SEMIPRESENCIAL (UN DÍA A LA SEMANA),SEMIPRESENCIAL (UN DÍA A LA SEMANA),437
PLAN,PLAN,A DISTANCIA,A DISTANCIA,188
PLAN,PLAN,SEMIPRESENCIAL,SEMIPRESENCIAL,118
PLAN,PLAN,VIRTUAL A DISTANCIA,VIRTUAL A DISTANCIA,70
PLAN,PLAN,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),67
PLAN,PLAN,SABATINO,SABATINO,59
PLAN,PLAN,DOMINICAL,DOMINICAL,27
PLAN,PLAN,MIXTO,MIXTO,4
PLAN,PLAN,IRREGULAR,IRREGULAR,3
PLAN,PLAN,INTERCALADO,INTERCALADO,2
DEPARTAMENTAL,DEPARTAMENTAL,GUATEMALA NORTE,GUATEMALA NORTE,1489
DEPARTAMENTAL,DEPARTAMENTAL,GUATEMALA OCCIDENTE,GUATEMALA OCCIDENTE,1035
DEPARTAMENTAL,DEPARTAMENTAL,GUATEMALA SUR,GUATEMALA SUR,1021
DEPARTAMENTAL,DEPARTAMENTAL,SAN MARCOS,SAN MARCOS,724
DEPARTAMENTAL,DEPARTAMENTAL,ESCUINTLA,ESCUINTLA,708
DEPARTAMENTAL,DEPARTAMENTAL,HUEHUETENANGO,HUEHUETENANGO,591
DEPARTAMENTAL,DEPARTAMENTAL,QUETZALTENANGO,QUETZALTENANGO,551
DEPARTAMENTAL,DEPARTAMENTAL,GUATEMALA ORIENTE,GUATEMALA ORIENTE,524
DEPARTAMENTAL,DEPARTAMENTAL,PETÉN,PETÉN,516
DEPARTAMENTAL,DEPARTAMENTAL,ALTA VERAPAZ,ALTA VERAPAZ,475
DEPARTAMENTAL,DEPARTAMENTAL,SUCHITEPÉQUEZ,SUCHITEPÉQUEZ,437
DEPARTAMENTAL,DEPARTAMENTAL,CHIMALTENANGO,CHIMALTENANGO,435
DEPARTAMENTAL,DEPARTAMENTAL,SACATEPÉQUEZ,SACATEPÉQUEZ,430
DEPARTAMENTAL,DEPARTAMENTAL,IZABAL,IZABAL,413
DEPARTAMENTAL,DEPARTAMENTAL,JUTIAPA,JUTIAPA,392
DEPARTAMENTAL,DEPARTAMENTAL,RETALHULEU,RETALHULEU,364
DEPARTAMENTAL,DEPARTAMENTAL,QUICHÉ,QUICHÉ,261
DEPARTAMENTAL,DEPARTAMENTAL,CHIQUIMULA,CHIQUIMULA,239
DEPARTAMENTAL,DEPARTAMENTAL,SANTA ROSA,SANTA ROSA,213
DEPARTAMENTAL,DEPARTAMENTAL,SOLOLÁ,SOLOLÁ,192
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_00.html,mineduc_busca_establecimiento_diversificado_00.html,2161
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_01.html,mineduc_busca_establecimiento_diversificado_01.html,1908
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_12.html,mineduc_busca_establecimiento_diversificado_12.html,724
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_05.html,mineduc_busca_establecimiento_diversificado_05.html,708
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_13.html,mineduc_busca_establecimiento_diversificado_13.html,591
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_09.html,mineduc_busca_establecimiento_diversificado_09.html,551
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_17.html,mineduc_busca_establecimiento_diversificado_17.html,516
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_16.html,mineduc_busca_establecimiento_diversificado_16.html,475
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_10.html,mineduc_busca_establecimiento_diversificado_10.html,437
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_04.html,mineduc_busca_establecimiento_diversificado_04.html,435
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_03.html,mineduc_busca_establecimiento_diversificado_03.html,430
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_18.html,mineduc_busca_establecimiento_diversificado_18.html,413
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_22.html,mineduc_busca_establecimiento_diversificado_22.html,392
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_11.html,mineduc_busca_establecimiento_diversificado_11.html,364
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_14.html,mineduc_busca_establecimiento_diversificado_14.html,322
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_20.html,mineduc_busca_establecimiento_diversificado_20.html,239
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_06.html,mineduc_busca_establecimiento_diversificado_06.html,213
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_07.html,mineduc_busca_establecimiento_diversificado_07.html,192
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_21.html,mineduc_busca_establecimiento_diversificado_21.html,183
archivo_origen,archivo_origen,mineduc_busca_establecimiento_diversificado_15.html,mineduc_busca_establecimiento_diversificado_15.html,171
departamento_origen,departamento_origen,CIUDAD CAPITAL,CIUDAD CAPITAL,2161
departamento_origen,departamento_origen,GUATEMALA,GUATEMALA,1908
departamento_origen,departamento_origen,SAN MARCOS,SAN MARCOS,724
departamento_origen,departamento_origen,ESCUINTLA,ESCUINTLA,708
departamento_origen,departamento_origen,HUEHUETENANGO,HUEHUETENANGO,591
departamento_origen,departamento_origen,QUETZALTENANGO,QUETZALTENANGO,551
departamento_origen,departamento_origen,PETEN,PETEN,516
departamento_origen,departamento_origen,ALTA VERAPAZ,ALTA VERAPAZ,475
departamento_origen,departamento_origen,SUCHITEPEQUEZ,SUCHITEPEQUEZ,437
departamento_origen,departamento_origen,CHIMALTENANGO,CHIMALTENANGO,435
departamento_origen,departamento_origen,SACATEPEQUEZ,SACATEPEQUEZ,430
departamento_origen,departamento_origen,IZABAL,IZABAL,413
departamento_origen,departamento_origen,JUTIAPA,JUTIAPA,392
departamento_origen,departamento_origen,RETALHULEU,RETALHULEU,364
departamento_origen,departamento_origen,QUICHE,QUICHE,322
departamento_origen,departamento_origen,CHIQUIMULA,CHIQUIMULA,239
departamento_origen,departamento_origen,SANTA ROSA,SANTA ROSA,213
departamento_origen,departamento_origen,SOLOLA,SOLOLA,192
departamento_origen,departamento_origen,JALAPA,JALAPA,183
departamento_origen,departamento_origen,BAJA VERAPAZ,BAJA VERAPAZ,171
